SHELT_NB,shelter_id,site_id,site_on,site_at,CORN_DESC,CITY,bustop_yn,OWNER,shelter_manufacturer_id,shel_type,shelter_type_description,RT_CD,has_heat,has_light,has_solar,has_adpanel
P-26,2624,53312,2ND AVE S,9TH ST - STOP GROUP F,NEAR SIDE  N,MINNEAPOLIS,Y,POSTER,P,ShTO,Shelter Transit Owned,,Y,Y,N,N
P-34,2632,53314,2ND AVE S,5TH ST - STOP GROUP F,NEAR SIDE  N,MINNEAPOLIS,Y,POSTER,P,ShTO,Shelter Transit Owned,,Y,Y,N,N
P-23,2621,53315,2ND AVE S,11TH ST - STOP GROUP G,FAR SIDE  N,MINNEAPOLIS,Y,POSTER,,ShTO,Shelter Transit Owned,,Y,Y,N,N
P-27,2625,53316,2ND AVE S,9TH ST - STOP GROUP G,FAR SIDE  N,MINNEAPOLIS,Y,POSTER,P,ShTO,Shelter Transit Owned,,Y,Y,N,N
P-31,2629,53317,2ND AVE S,7TH ST - STOP GROUP G,FAR SIDE  N,MINNEAPOLIS,Y,POSTER,P,ShTO,Shelter Transit Owned,,Y,Y,N,N
P-35,2633,53318,2ND AVE S,5TH ST - STOP GROUP G,FAR SIDE  N,MINNEAPOLIS,Y,POSTER,P,ShTO,Shelter Transit Owned,,Y,Y,N,N
P-24,2622,53319,2ND AVE S,10TH ST - STOP GROUP H,NEAR SIDE  N,MINNEAPOLIS,Y,POSTER,P,ShTO,Shelter Transit Owned,,Y,Y,N,N
P-28,2626,53320,2ND AVE S,8TH ST - STOP GROUP H,NEAR SIDE  N,MINNEAPOLIS,Y,POSTER,P,ShTO,Shelter Transit Owned,,Y,Y,N,N
P-32,2630,53321,2ND AVE S,6TH ST - STOP GROUP H,NEAR SIDE  N,MINNEAPOLIS,Y,POSTER,P,ShTO,Shelter Transit Owned,,Y,Y,N,N
P-36,2634,53322,2ND AVE S,4TH ST - STOP GROUP H,NEAR SIDE  N,MINNEAPOLIS,Y,POSTER,P,ShTO,Shelter Transit Owned,,Y,Y,N,N
M-2468,2644,53353,INTERSTATE 35 RAMP,KENRICK AVE P&R,NEAR SIDE  N,LAKEVILLE,Y,METRO,,ShTO,Shelter Transit Owned,SOUTH,N,N,N,N
M-4273,2674,53366,ANOKA STATION,BUS STOP,NEAR SIDE  W,ANOKA,Y,METRO,P,ShTO,Shelter Transit Owned,FLT,N,N,N,N
M-2471,2694,53542,INTERSTATE 35W,46TH ST STATION - GATE C,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,P,ShTO,Shelter Transit Owned,SW,Y,Y,N,N
M-2472,2695,53543,INTERSTATE 35W,46TH ST STATION - GATE D,NEAR SIDE  S,MINNEAPOLIS,Y,METRO,P,ShTO,Shelter Transit Owned,SW,Y,Y,N,N
M-2469,2692,53544,46TH ST STATION - GATE A,I-35W BRT,NEAR SIDE  W,MINNEAPOLIS,Y,METRO,P,ShTO,Shelter Transit Owned,SW,Y,Y,N,N
M-2470,2693,53545,46TH ST STATION - GATE B,I-35W BRT,NEAR SIDE  E,MINNEAPOLIS,Y,METRO,P,ShTO,Shelter Transit Owned,SW,Y,Y,N,N
M-4368,2740,53572,ELK RIVER STATION,LINK BUS STOP,NEAR SIDE  S,ELK RIVER,Y,METRO,,ShTO,Shelter Transit Owned,,N,N,N,N
M-2503,2860,53703,SOUTHDALE TRANSIT CENTER,GATE A,NEAR SIDE  W,EDINA,Y,METRO,,ShTO,Shelter Transit Owned,SW,Y,Y,N,N
M-2504,2861,53704,SOUTHDALE TRANSIT CENTER,GATE B,NEAR SIDE  N,EDINA,Y,METRO,,ShTO,Shelter Transit Owned,SW,Y,Y,N,N
M-2505,2862,53705,SOUTHDALE TRANSIT CENTER,GATE C,NEAR SIDE  N,EDINA,Y,METRO,DG,ShTO,Shelter Transit Owned,SW,Y,Y,N,N
M-3109,2828,56096,HWY 36,RICE ST P&R,NEAR SIDE  S,LITTLE CANADA,Y,METRO,P,ShTO,Shelter Transit Owned,NE,N,N,N,N
O-9601,2677,45759,BURNSVILLE CENTER,SEARS AUTO,NEAR SIDE  S,BURNSVILLE,Y,OTHER,,TS,Privately Owned,,N,N,N,N
M-1351,3494,3232,3RD ST E,HAZELWOOD ST,NEAR SIDE  W,SAINT PAUL,Y,METRO,,U,Unknown,0,N,N,N,N
M-7016,3722,3243,3RD ST E,EARL ST,NEAR SIDE  W,SAINT PAUL,Y,METRO,,U,Unknown,,N,N,N,N
M-7007,3714,12932,MARYLAND AVE,DULUTH ST,NEAR SIDE  W,SAINT PAUL,Y,METRO,,U,Unknown,,N,N,N,N
M-7013,3720,51089,ARCADE ST,MINNEHAHA AVE,NEAR SIDE  N,SAINT PAUL,Y,METRO,,U,Unknown,,N,N,N,N
