SHELT_NB,shelter_id,site_id,site_on,site_at,CORN_DESC,CITY,bustop_yn,OWNER,shelter_manufacturer_id,shel_type,shelter_type_description,RT_CD,has_heat,has_light,has_solar,has_adpanel
M-1980,1363,1101,HENNEPIN AVE S,26TH ST W,NEAR SIDE  S,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-W,N,N,N,N
M-774,594,1200,NICOLLET AVE S,18TH ST W,NEAR SIDE  S,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-C,N,N,N,N
M-761,588,1202,NICOLLET AVE S,FRANKLIN AVE W,NEAR SIDE  S,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-C,N,Y,N,N
M-775,595,1204,NICOLLET AVE S,24TH ST W,NEAR SIDE  S,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-C,N,N,N,N
M-2315,1579,1206,NICOLLET AVE S,26TH ST W,FAR SIDE  S,MINNEAPOLIS,Y,METRO,CO,C,6 X 12 with windscreen,MPLS-C,N,N,N,N
M-2512,852,1219,NICOLLET AVE S,38TH ST W,NEAR SIDE  S,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-293,466,1287,FRANCE AVE S,50TH ST W,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,DG,C,6 X 12 with windscreen,SW,N,Y,N,N
M-702,152,1324,HENNEPIN AVE,28TH ST W,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-W,N,N,N,N
M-416,2,1328,HENNEPIN AVE,24TH ST W,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,P,C,6 X 12 with windscreen,MPLS-W,N,N,N,N
M-2165,760,1330,HENNEPIN AVE,FRANKLIN AVE W,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,DG,C,6 X 12 with windscreen,MPLS-C,N,Y,N,N
M-429,501,1417,NICOLLET AVE S,98TH ST E,FAR SIDE  N,BLOOMINGTON,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-800,607,1418,NICOLLET AVE S,96TH ST E,ACROSS FROM  N,BLOOMINGTON,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,Y,N,N
M-554,542,1754,NICOLLET AVE S,66TH ST E,FAR SIDE  N,RICHFIELD,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,Y,N,N
M-528,532,1762,NICOLLET AVE S,59TH ST E,ACROSS FROM  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-1589,281,1766,NICOLLET AVE S,DIAMOND LAKE RD,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,DG,C,6 X 12 with windscreen,SW,N,N,N,N
M-109,59,1853,LYNDALE AVE S,54TH ST W,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,Y,N,N
M-587,144,1872,NICOLLET AVE S,46TH ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-722,161,1874,NICOLLET AVE S,44TH ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-588,145,1878,NICOLLET AVE S,40TH ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-2026,1595,1881,NICOLLET AVE S,37TH ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-2417,1596,1883,NICOLLET AVE S,35TH ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,Y,N,N
M-593,560,1884,NICOLLET AVE S,34TH ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-2394,1597,1885,NICOLLET AVE S,33RD ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-1716,297,1886,NICOLLET AVE S,32ND ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SW,Y,Y,N,N
M-1336,657,1887,NICOLLET AVE S,31ST ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,Y,N,N
M-38,392,1889,1ST AVE S,LAKE ST,FAR SIDE  N,MINNEAPOLIS,Y,METRO,DG,C,6 X 12 with windscreen,MPLS-C,N,N,N,N
M-598,562,1890,NICOLLET AVE S,28TH ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-C,N,N,N,N
M-597,561,1900,NICOLLET AVE S,24TH ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-C,N,N,N,N
M-701,571,1911,NICOLLET AVE S,18TH ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-C,N,N,N,N
M-2392,2422,1914,NICOLLET AVE S,16TH ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,DG,C,6 X 12 with windscreen,MPLS-C,N,N,N,N
M-2391,1586,1917,NICOLLET AVE S,15TH ST E,FAR SIDE  N,MINNEAPOLIS,Y,METRO,DG,C,6 X 12 with windscreen,MPLS-C,N,N,N,N
M-1754,2376,2073,NORMANDALE VILLAGE,P&R,NEAR SIDE  E,BLOOMINGTON,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-561,139,2605,CESAR CHAVEZ ST,STATE ST,FAR SIDE  W,SAINT PAUL,Y,METRO,CO,C,6 X 12 with windscreen,SE,N,N,N,N
M-174,423,2607,ROBERT ST S,ISABEL ST,NEAR SIDE  N,SAINT PAUL,Y,METRO,BR,C,6 X 12 with windscreen,SE,N,Y,N,N
M-372,486,2610,ROBERT ST S,FILLMORE AVE,NEAR SIDE  N,SAINT PAUL,Y,METRO,BR,C,6 X 12 with windscreen,STP,N,Y,N,N
M-2297,2135,2968,XENIA AVE,GOLDEN HILLS DR,FAR SIDE  S,GOLDEN VALLEY,Y,METRO,BR,C,6 X 12 with windscreen,NW,N,N,N,N
M-1435,246,3008,CEDAR LAKE RD,RIDGE DR,FAR SIDE  E,SAINT LOUIS PARK,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-966,635,3010,PARK PLACE BLVD,CEDAR LAKE RD / GAMBLE DR,MID BLOCK  N,SAINT LOUIS PARK,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-2533,2968,3051,GLENWOOD AVE,LYNDALE AVE N,FAR SIDE  E,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,NW,N,N,N,N
M-2216,2415,3101,SUMMIT AVE,CRETIN AVE,NEAR SIDE  W,SAINT PAUL,Y,METRO,DG,C,6 X 12 with windscreen,SE,N,N,N,N
M-471,119,3106,GRAND AVE,CLEVELAND AVE,NEAR SIDE  E,SAINT PAUL,Y,METRO,BR,C,6 X 12 with windscreen,SE,N,N,N,N
M-894,185,3108,GRAND AVE,PRIOR AVE,NEAR SIDE  E,SAINT PAUL,Y,METRO,H,C,6 X 12 with windscreen,SE,N,N,N,N
M-15,44,3114,GRAND AVE,SNELLING AVE,NEAR SIDE  E,SAINT PAUL,Y,METRO,BR,C,6 X 12 with windscreen,SE,N,Y,N,N
M-17,45,3130,GRAND AVE,DALE ST,NEAR SIDE  E,SAINT PAUL,Y,METRO,BR,C,6 X 12 with windscreen,SE,N,Y,N,N
M-2416,2450,3142,5TH ST,MARKET ST,NEAR SIDE  E,SAINT PAUL,Y,METRO,DG,C,6 X 12 with windscreen,STP,N,N,N,N
M-9051,1282,3151,KELLOGG BLVD,LAFAYETTE BRIDGE,NEAR SIDE  E,SAINT PAUL,Y,METRO,P,C,6 X 12 with windscreen,STP,Y,Y,N,N
M-2800,715,3947,ROSEDALE MALL,BIG BOWL ENTRANCE,NEAR SIDE  W,ROSEVILLE,Y,METRO,BR,C,6 X 12 with windscreen,NE,N,Y,N,N
M-256,680,4282,FORD PKWY,FINN / CLEVELAND,MID BLOCK  E,SAINT PAUL,Y,METRO,DG,C,6 X 12 with windscreen,SE,N,N,N,N
M-555,138,4356,66TH ST W,NICOLLET AVE S,FAR SIDE  W,RICHFIELD,Y,METRO,DG,C,6 X 12 with windscreen,SW,N,Y,N,N
M-1361,198,4360,66TH ST W,LYNDALE AVE S,NEAR SIDE  W,RICHFIELD,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,Y,N,N
M-31,390,4369,65TH ST W,FAIRVIEW HOSPITAL,NEAR SIDE  W,EDINA,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,Y,N,N
M-2168,199,4418,66TH ST W,LYNDALE AVE S,NEAR SIDE  E,RICHFIELD,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-2396,2424,4419,66TH ST W,NICOLLET AVE S,NEAR SIDE  E,RICHFIELD,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-512,128,4445,28TH AVE S,56TH ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SE,N,N,N,N
M-1315,649,4811,EXCELSIOR BLVD,8TH AVE P&R,NEAR SIDE  E,HOPKINS,Y,METRO,DG,C,6 X 12 with windscreen,SW,N,N,N,N
M-1440,249,4818,MAINSTREET,13TH AVE S,NEAR SIDE  E,HOPKINS,Y,METRO,CO,C,6 X 12 with windscreen,SW,N,N,N,N
M-1753,307,4822,5TH AVE S,MAINSTREET / EXCELSIOR BLVD,MID BLOCK  S,HOPKINS,Y,METRO,CO,C,6 X 12 with windscreen,SW,N,Y,N,N
M-816,178,4836,EXCELSIOR BLVD,MEADOWBROOK LANE,ACROSS FROM  E,HOPKINS,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-207,434,4844,EXCELSIOR BLVD,LOUISIANA AVE,ACROSS FROM  E,SAINT LOUIS PARK,Y,METRO,DG,C,6 X 12 with windscreen,SW,N,N,N,N
M-318,687,4859,EXCELSIOR BLVD,32ND ST W,FAR SIDE  E,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-W,N,N,N,N
M-1397,200,4862,LAKE ST W,CALHOUN PKWY W,FAR SIDE  E,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-W,N,Y,N,N
M-148,412,4945,BARRIE RD,#6417-6447,MID BLOCK  N,EDINA,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,Y,N,N
M-2247,2272,5116,MCMENEMY ST,LARPENTEUR AVE,NEAR SIDE  S,MAPLEWOOD,Y,METRO,BR,C,6 X 12 with windscreen,NE,N,Y,N,N
M-1746,10,5249,HWY 61,CO RD C P&R,NEAR SIDE  S,MAPLEWOOD,Y,METRO,BR,C,6 X 12 with windscreen,EAST,N,N,N,N
M-209,435,5715,LAKE ST W,WOODDALE AVE (DAKOTA),FAR SIDE  E,SAINT LOUIS PARK,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-158,2731,5763,BOONE AVE,BREMER BANK,NEAR SIDE  N,SAINT LOUIS PARK,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-1304,645,5765,36TH ST W,AQUILA AVE,NEAR SIDE  E,SAINT LOUIS PARK,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-1404,233,5767,36TH ST W,WYOMING AVE / VIRGINIA AVE,ACROSS FROM  E,SAINT LOUIS PARK,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-534,696,5775,TEXAS AVE S,MINNETONKA BLVD,NEAR SIDE  N,SAINT LOUIS PARK,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,Y,N,N
M-535,535,5781,MINNETONKA BLVD,LOUISIANA AVE,NEAR SIDE  E,SAINT LOUIS PARK,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-965,194,5784,MINNETONKA BLVD,HAMPSHIRE AVE,FAR SIDE  E,SAINT LOUIS PARK,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-536,536,5788,MINNETONKA BLVD,COLORADO AVE,NEAR SIDE  E,SAINT LOUIS PARK,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-453,510,5795,MINNETONKA BLVD,HWY 100,NEAR SIDE  E,SAINT LOUIS PARK,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-1307,646,5804,MINNETONKA BLVD,INGLEWOOD AVE,NEAR SIDE  E,SAINT LOUIS PARK,Y,METRO,H,C,6 X 12 with windscreen,SW,N,Y,N,N
M-18,671,5805,LAKE ST W,FRANCE AVE S,FAR SIDE  E,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-63,397,6140,XERXES AVE S,HWY 62,NEAR SIDE  N,RICHFIELD,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,Y,N,N
M-1424,1232,6999,PLYMOUTH RD P&R,TURNAROUND ENTRANCE,FAR SIDE  N,MINNETONKA,Y,METRO,BR,C,6 X 12 with windscreen,CONTRACT,Y,Y,N,N
M-1425,1233,8150,WAYZATA BLVD,GENERAL MILLS BLVD P&R,NEAR SIDE  W,GOLDEN VALLEY,Y,METRO,DG,C,6 X 12 with windscreen,CONTRACT,Y,Y,N,N
M-173,422,8348,OAKDALE AVE N,WEST BROADWAY,ACROSS FROM  E,ROBBINSDALE,Y,METRO,DG,C,6 X 12 with windscreen,NW,N,Y,N,N
M-2663,3312,8387,WEST BROADWAY,#3815,NEAR SIDE  S,ROBBINSDALE,Y,METRO,BR,C,6 X 12 with windscreen,NW,N,Y,Y,N
M-975,638,8510,42ND AVE N,WINNETKA AVE,FAR SIDE  E,NEW HOPE,Y,METRO,BR,C,6 X 12 with windscreen,NW,N,N,N,N
M-2602,3244,8823,ZANE AVE N,83RD PKWY,NEAR SIDE  S,BROOKLYN PARK,Y,METRO,BR,C,6 X 12 with windscreen,NORTH,N,Y,Y,N
M-2124,2041,8840,ZANE AVE N,65TH AVE N,NEAR SIDE  S,BROOKLYN PARK,Y,METRO,DG,C,6 X 12 with windscreen,NW,N,Y,N,N
M-1420,241,8916,7TH ST N,OLSON MEMORIAL HWY,FAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,NW,Y,Y,N,N
M-1570,275,8919,7TH ST N,BRYANT AVE N,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,NW,N,N,N,N
M-2515,2515,8920,EMERSON AVE N,PLYMOUTH AVE,FAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,NW,Y,Y,N,N
M-1770,312,9042,ZANE AVE N,ZANE COURT,FAR SIDE  S,BROOKLYN PARK,Y,METRO,BR,C,6 X 12 with windscreen,NORTH,N,Y,N,N
M-2708,3324,9063,63RD AVE N,ZANE AVE N,FAR SIDE  E,BROOKLYN PARK,Y,METRO,BR,C,6 X 12 with windscreen,NW,N,N,N,N
M-2478,2704,9086,XERXES AVE N,BASS LAKE RD (CO RD 10),FAR SIDE  S,BROOKLYN CENTER,Y,METRO,BR,C,6 X 12 with windscreen,NW,N,Y,Y,N
M-2173,1956,9087,XERXES AVE N,56TH AVE N,NEAR SIDE  S,BROOKLYN CENTER,Y,METRO,BR,C,6 X 12 with windscreen,NW,N,N,N,N
M-2482,2708,9284,XERXES AVE N,NORTHWAY DR,NEAR SIDE  N,BROOKLYN CENTER,Y,METRO,BR,C,6 X 12 with windscreen,NW,N,N,N,N
M-2481,2711,9472,XERXES AVE N,NORTHWAY DR,FAR SIDE  S,BROOKLYN CENTER,Y,METRO,BR,C,6 X 12 with windscreen,NW,N,Y,Y,N
M-2631,3157,9549,BASS LAKE RD (CO RD 10),WINNETKA AVE N,NEAR SIDE  E,NEW HOPE,Y,METRO,BR,C,6 X 12 with windscreen,NW,N,Y,Y,N
M-2535,2991,9611,FREMONT AVE N,42ND AVE N,NEAR SIDE  S,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,NW,N,N,N,N
M-396,11,9619,FREMONT AVE N,DOWLING AVE N,NEAR SIDE  S,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,NW,N,N,N,N
M-851,623,9676,INVER HILLS COLLEGE,SHELTER,NEAR SIDE  W,INVER GROVE HEIGHTS,Y,METRO,BR,C,6 X 12 with windscreen,STP,N,N,N,N
M-190,427,9790,CARMEN AVE E (5TH AVE S),SOUTH ST W,NEAR SIDE  N,SOUTH SAINT PAUL,Y,METRO,BR,C,6 X 12 with windscreen,STP,N,Y,N,N
M-552,541,9839,SOUTHVIEW BLVD,12TH AVE S,NEAR SIDE  W,SOUTH SAINT PAUL,Y,METRO,H,C,6 X 12 with windscreen,STP,N,N,N,N
M-1673,37,9876,MARIE AVE,OAKDALE AVE,FAR SIDE  W,WEST SAINT PAUL,Y,METRO,DG,C,6 X 12 with windscreen,SE,N,Y,N,N
M-2513,2908,10695,DALE ST,UNIVERSITY AVE,FAR SIDE  N,SAINT PAUL,Y,METRO,BR,C,6 X 12 with windscreen,UNI,N,N,N,N
M-710,1788,11110,PENN AVE N,36TH AVE N,NEAR SIDE  S,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,NW,N,N,N,N
M-281,462,11146,FREMONT AVE N,LOWRY AVE N,FAR SIDE  S,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,NW,N,Y,Y,N
M-417,107,11151,FREMONT AVE N,25TH AVE N,NEAR SIDE  S,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,NW,N,N,N,N
M-2803,3101,11154,FREMONT AVE N,22ND AVE N,NEAR SIDE  S,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,NW,N,N,N,N
M-32,48,11155,FREMONT AVE N,WEST BROADWAY,FAR SIDE  S,MINNEAPOLIS,Y,METRO,CO,C,6 X 12 with windscreen,NW,N,N,N,N
M-1569,274,11161,PLYMOUTH AVE,FREMONT / 7TH ST N,MID BLOCK  E,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,NW,Y,Y,N,N
M-2543,2993,11163,7TH ST N,11TH AVE N (BRYANT),NEAR SIDE  S,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,NW,N,N,N,N
M-2534,2969,11191,LYNDALE AVE N,LOWRY AVE N,FAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,NW,N,Y,N,N
M-2178,2133,11366,RUTER GARAGE,SHINGLE CREEK PKWY,NEAR SIDE  N,BROOKLYN CENTER,N,METRO,DG,C,6 X 12 with windscreen,NORTH,N,N,N,N
M-860,625,11369,SHINGLE CREEK PKWY,SUMMIT DR,FAR SIDE  S,BROOKLYN CENTER,Y,METRO,DG,C,6 X 12 with windscreen,NORTH,N,Y,Y,N
M-1379,2682,11486,HUMBOLDT AVE N,69TH AVE N,NEAR SIDE  N,BROOKLYN CENTER,Y,METRO,BR,C,6 X 12 with windscreen,NORTH,N,N,N,N
M-545,1220,11585,HWY 252,66TH AVE N,FAR SIDE  S,BROOKLYN CENTER,Y,METRO,BR,C,6 X 12 with windscreen,NORTH,N,N,N,N
M-2474,1101,11629,45TH AVE N,LYNDALE AVE N,NEAR SIDE  E,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,NW,N,N,N,N
M-2011,2191,11641,LYNDALE AVE N,LOWRY AVE N,FAR SIDE  S,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,NW,Y,Y,N,N
M-821,613,11684,STINSON BLVD,39TH AVE NE,ACROSS FROM  S,COLUMBIA HEIGHTS,Y,METRO,BR,C,6 X 12 with windscreen,NE,N,N,N,N
M-320,475,11717,RANDOLPH AVE,SNELLING AVE S,NEAR SIDE  E,SAINT PAUL,Y,METRO,DG,C,6 X 12 with windscreen,SE,N,N,N,N
M-887,629,11721,RANDOLPH AVE,PASCAL ST,ACROSS FROM  E,SAINT PAUL,Y,METRO,DG,C,6 X 12 with windscreen,SE,N,N,N,N
M-571,140,11723,RANDOLPH AVE,HAMLINE AVE,NEAR SIDE  E,SAINT PAUL,Y,METRO,BR,C,6 X 12 with windscreen,SE,N,N,N,N
M-798,606,11760,CLEVELAND AVE,PINEHURST AVE,FAR SIDE  N,SAINT PAUL,Y,METRO,BR,C,6 X 12 with windscreen,SE,N,N,N,N
M-2522,339,11837,5TH ST,MINNESOTA ST,NEAR SIDE  E,SAINT PAUL,Y,METRO,P,C,6 X 12 with windscreen,STP,Y,Y,N,N
M-2497,2829,11885,JOHN IRELAND BLVD,MARSHALL AVE,ACROSS FROM  N,SAINT PAUL,Y,METRO,DG,C,6 X 12 with windscreen,UNI,N,N,N,N
M-326,95,11893,RICE ST,UNIVERSITY AVE,NEAR SIDE  N,SAINT PAUL,Y,METRO,DG,C,6 X 12 with windscreen,UNI,N,Y,N,N
M-1812,212,11904,JACKSON ST,14TH ST,NEAR SIDE  S,SAINT PAUL,Y,METRO,DG,C,6 X 12 with windscreen,STP,N,N,N,N
M-854,624,12050,MAIN ST,3RD AVE,NEAR SIDE  E,ANOKA,Y,METRO,BR,C,6 X 12 with windscreen,NORTH,N,Y,Y,N
M-165,420,12163,EAST RIVER RD,GEORGETOWN APTS,FAR SIDE  S,FRIDLEY,Y,METRO,BR,C,6 X 12 with windscreen,NORTH,N,N,N,N
M-1925,2129,12281,UNIVERSITY AVE SE,CENTRAL AVE,NEAR SIDE  E,MINNEAPOLIS,Y,METRO,H,C,6 X 12 with windscreen,MPLS-C,N,Y,N,N
M-5036,1140,12552,38TH ST E,SNELLING AVE,NEAR SIDE  W,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SE,N,N,N,N
M-288,3099,12784,LOWRY AVE N,LYNDALE AVE N,NEAR SIDE  E,MINNEAPOLIS,Y,METRO,,C,6 X 12 with windscreen,NW,N,N,N,N
M-1775,1247,12958,MARYLAND AVE,PHALEN BLVD (PROSPERITY AVE),NEAR SIDE  E,SAINT PAUL,Y,METRO,BR,C,6 X 12 with windscreen,EAST,N,N,N,N
M-193,428,12972,MARYLAND AVE,HAZELWOOD ST,NEAR SIDE  W,SAINT PAUL,Y,METRO,BR,C,6 X 12 with windscreen,EAST,N,N,N,N
M-1989,1975,13219,CEDAR AVE S,3RD ST S,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,DG,C,6 X 12 with windscreen,MPLS-E,N,Y,N,N
M-2494,2822,13221,WASHINGTON RAMP,CEDAR AVE S,FAR SIDE  E,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-E,N,N,N,N
M-2526,1127,13235,RIVERSIDE AVE,23RD AVE S,ACROSS FROM  W,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-E,N,N,N,N
M-944,192,13247,27TH AVE S,FRANKLIN AVE E,NEAR SIDE  S,MINNEAPOLIS,Y,METRO,CO,C,6 X 12 with windscreen,MPLS-E,N,Y,N,N
M-297,468,13253,FRANKLIN AVE E,26TH AVE S,NEAR SIDE  W,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-E,N,Y,N,N
M-2476,795,13267,FRANKLIN AVE E,22ND AVE S,NEAR SIDE  W,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-E,N,N,N,N
M-58,395,13279,FRANKLIN AVE E,CEDAR AVE,NEAR SIDE  W,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-E,N,Y,N,N
M-2700,3057,13315,FRANKLIN AVE E,PORTLAND AVE,FAR SIDE  W,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,MPLS-E,N,Y,N,N
M-1783,317,13318,FRANKLIN AVE E,CLINTON AVE S,NEAR SIDE  W,MINNEAPOLIS,Y,METRO,DG,C,6 X 12 with windscreen,MPLS-C,N,N,N,N
M-1415,237,13374,HWY 252,73RD AVE N,FAR SIDE  S,BROOKLYN CENTER,Y,METRO,BR,C,6 X 12 with windscreen,NORTH,Y,Y,N,N
M-538,133,14085,SILVER LAKE RD,MISSISSIPPI ST,NEAR SIDE  S,NEW BRIGHTON,Y,METRO,H,C,6 X 12 with windscreen,NORTH,N,N,N,N
M-539,134,14144,SILVER LAKE RD,CO RD E,NEAR SIDE  S,NEW BRIGHTON,Y,METRO,DG,C,6 X 12 with windscreen,NORTH,N,Y,N,N
M-515,129,14151,SILVER LAKE RD,SILVER LANE,FAR SIDE  S,SAINT ANTHONY,Y,METRO,BR,C,6 X 12 with windscreen,NE,N,N,N,N
M-1340,659,14153,SILVER LAKE,APACHE LANE / 39TH AVE,MID BLOCK  S,SAINT ANTHONY,Y,METRO,BR,C,6 X 12 with windscreen,NE,N,N,N,N
M-437,504,14244,CENTRAL AVE NE,MISSISSIPPI ST,NEAR SIDE  S,FRIDLEY,Y,METRO,BR,C,6 X 12 with windscreen,NORTH,N,N,N,N
M-33,391,14604,37TH AVE NE,3RD ST NE,NEAR SIDE  W,COLUMBIA HEIGHTS,Y,METRO,BR,C,6 X 12 with windscreen,NORTH,N,N,N,N
M-468,118,14654,2ND ST NE,20TH AVE NE,ACROSS FROM  S,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,NW,N,N,N,N
M-2401,169,14690,2ND ST NE,1ST AVE NE,NEAR SIDE  S,MINNEAPOLIS,Y,METRO,DG,C,6 X 12 with windscreen,MPLS-C,N,N,N,N
M-1399,727,14727,CO RD H P&R,CO RD 10 / I-35W,MID BLOCK  E,MOUNDS VIEW,Y,METRO,DG,C,6 X 12 with windscreen,NORTH,N,Y,Y,N
M-157,414,14897,31ST ST W,PILLSBURY AVE / BLAISDELL AVE,MID BLOCK  E,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SW,N,N,N,N
M-454,511,15061,MINNEHAHA AVE,VICTORIA ST,NEAR SIDE  E,SAINT PAUL,Y,METRO,BR,C,6 X 12 with windscreen,NE,N,N,N,N
M-12,17,15130,UNIVERSITY AVE,SNELLING AVE,FAR SIDE  E,SAINT PAUL,Y,METRO,BR,C,6 X 12 with windscreen,UNI,N,Y,N,N
M-2340,2315,15225,HADLEY AVE N,UPPER 17TH ST N,NEAR SIDE  S,OAKDALE,Y,METRO,DG,C,6 X 12 with windscreen,EAST,Y,Y,N,N
M-2664,3313,15250,34TH AVE S,58TH ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SE,N,Y,Y,N
M-1953,1399,15307,CEDAR AVE S,35TH ST E,FAR SIDE  N,MINNEAPOLIS,Y,METRO,DG,C,6 X 12 with windscreen,SE,N,N,N,N
M-583,142,15313,CEDAR AVE S,32ND ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SE,N,N,N,N
M-591,147,15582,BLOOMINGTON AVE S,46TH ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,BR,C,6 X 12 with windscreen,SE,N,N,N,N
M-586,18,15590,BLOOMINGTON AVE S,42ND ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,DG,C,6 X 12 with windscreen,SE,N,N,N,N
M-582,19,15622,BLOOMINGTON AVE S,26TH ST E,NEAR SIDE  N,MINNEAPOLIS,Y,METRO,DG,C,6 X 12 with windscreen,MPLS-E,N,Y,N,N
